,Pos,Age,Starts,Player,urls,scouting_url,position_group
0,DF,30.0,37,Pontus Jansson,https://fbref.com/en/players/172e52d8/Pontus-Jansson,https://fbref.com/en/players/172e52d8/scout/365_euro/Pontus-Jansson-Scouting-Report,Defender
1,MF,27.0,35,Christian Norgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,https://fbref.com/en/players/df0a4c90/scout/365_euro/Christian-Norgaard-Scouting-Report,Central Midfielders
2,FW,21.0,34,Bryan Mbeumo,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo,https://fbref.com/en/players/6afaebf2/scout/365_euro/Bryan-Mbeumo-Scouting-Report,Forwards
3,DF,24.0,33,Rico Henry,https://fbref.com/en/players/8a3c1dc7/Rico-Henry,https://fbref.com/en/players/8a3c1dc7/scout/365_euro/Rico-Henry-Scouting-Report,Defender
4,FW,25.0,32,Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney,https://fbref.com/en/players/e09f279b/scout/365_euro/Ivan-Toney-Scouting-Report,Forwards
5,DF,28.0,32,Ethan Pinnock,https://fbref.com/en/players/e541326e/Ethan-Pinnock,https://fbref.com/en/players/e541326e/scout/365_euro/Ethan-Pinnock-Scouting-Report,Defender
6,MF,23.0,27,Vitaly Janelt,https://fbref.com/en/players/8449d35e/Vitaly-Janelt,https://fbref.com/en/players/8449d35e/scout/365_euro/Vitaly-Janelt-Scouting-Report,Central Midfielders
7,DF,24.0,25,Sergi Canos,https://fbref.com/en/players/1137759d/Sergi-Canos,https://fbref.com/en/players/1137759d/scout/365_euro/Sergi-Canos-Scouting-Report,Defender
8,GK,25.0,24,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,https://fbref.com/en/players/98ea5115/scout/365_euro/David-Raya-Scouting-Report,GK
9,DF,23.0,23,Kristoffer Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,https://fbref.com/en/players/a8c0acb7/scout/365_euro/Kristoffer-Ajer-Scouting-Report,Defender
10,MF,25.0,19,Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen,https://fbref.com/en/players/0f134faf/scout/365_euro/Mathias-Jensen-Scouting-Report,Central Midfielders
11,"FW,MF",24.0,12,Yoane Wissa,https://fbref.com/en/players/2500cef9/Yoane-Wissa,https://fbref.com/en/players/2500cef9/scout/365_euro/Yoane-Wissa-Scouting-Report,Attacking Midfielders
12,DF,22.0,12,Mads Roerslev,https://fbref.com/en/players/57c94db2/Mads-Roerslev,https://fbref.com/en/players/57c94db2/scout/365_euro/Mads-Roerslev-Scouting-Report,Defender
13,GK,23.0,12,Alvaro Fernandez,https://fbref.com/en/players/f127d782/Alvaro-Fernandez,https://fbref.com/en/players/f127d782/scout/365_euro/Alvaro-Fernandez-Scouting-Report,GK
14,MF,23.0,12,Frank Onyeka,https://fbref.com/en/players/2944f86f/Frank-Onyeka,https://fbref.com/en/players/2944f86f/scout/365_euro/Frank-Onyeka-Scouting-Report,Central Midfielders
15,MF,29.0,10,Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen,https://fbref.com/en/players/980522ec/scout/365_euro/Christian-Eriksen-Scouting-Report,Central Midfielders
16,MF,23.0,9,Shandon Baptiste,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,https://fbref.com/en/players/2886c9b5/scout/365_euro/Shandon-Baptiste-Scouting-Report,Central Midfielders
17,DF,22.0,9,Mads Bech Sorensen,https://fbref.com/en/players/30db8574/Mads-Bech-Sorensen,https://fbref.com/en/players/30db8574/scout/365_euro/Mads-Bech-Sorensen-Scouting-Report,Defender
18,DF,31.0,6,Mathias Jorgensen,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,https://fbref.com/en/players/0db5d2c8/scout/365_euro/Mathias-Jorgensen-Scouting-Report,Defender
19,"DF,MF",27.0,4,Saman Ghoddos,https://fbref.com/en/players/f7b1d4e0/Saman-Ghoddos,https://fbref.com/en/players/f7b1d4e0/scout/365_euro/Saman-Ghoddos-Scouting-Report,Defender
20,DF,25.0,4,Charlie Goode,https://fbref.com/en/players/7aee4dd3/Charlie-Goode,https://fbref.com/en/players/7aee4dd3/scout/365_euro/Charlie-Goode-Scouting-Report,Defender
21,"MF,FW",22.0,2,Josh Dasilva,https://fbref.com/en/players/60344e4f/Josh-Dasilva,https://fbref.com/en/players/60344e4f/scout/365_euro/Josh-Dasilva-Scouting-Report,Attacking Midfielders
22,GK,32.0,2,Jonas Lossl,https://fbref.com/en/players/939bc634/Jonas-Lossl,https://fbref.com/en/players/939bc634/scout/365_euro/Jonas-Lossl-Scouting-Report,GK
23,DF,21.0,2,Dominic Thompson,https://fbref.com/en/players/235a62f8/Dominic-Thompson,https://fbref.com/en/players/235a62f8/scout/365_euro/Dominic-Thompson-Scouting-Report,Defender
24,"FW,MF",22.0,1,Marcus Forss,https://fbref.com/en/players/82c215a0/Marcus-Forss,https://fbref.com/en/players/82c215a0/scout/365_euro/Marcus-Forss-Scouting-Report,Attacking Midfielders
25,MF,20.0,0,Mads Bidstrup,https://fbref.com/en/players/407db0d5/Mads-Bidstrup,https://fbref.com/en/players/407db0d5/scout/365_euro/Mads-Bidstrup-Scouting-Report,Central Midfielders
26,DF,25.0,0,Tariqe Fosu,https://fbref.com/en/players/3dcef539/Tariqe-Fosu,https://fbref.com/en/players/3dcef539/scout/365_euro/Tariqe-Fosu-Scouting-Report,Defender
27,DF,18.0,0,Finley Stevens,https://fbref.com/en/players/7e003182/Finley-Stevens,https://fbref.com/en/players/7e003182/scout/365_euro/Finley-Stevens-Scouting-Report,Defender
28,FW,18.0,0,Nathan Young Coombes,https://fbref.com/en/players/f9682888/Nathan-Young-Coombes,https://fbref.com/en/players/f9682888/scout/365_euro/Nathan-Young-Coombes-Scouting-Report,Forwards
29,GK,18.0,0,Matthew Cox,https://fbref.com/en/players/fea06849/Matthew-Cox,https://fbref.com/en/players/fea06849/scout/365_euro/Matthew-Cox-Scouting-Report,GK
30,FW,21.0,0,Halil Dervisoglu,https://fbref.com/en/players/9d8cf204/Halil-Dervisoglu,https://fbref.com/en/players/9d8cf204/scout/365_euro/Halil-Dervisoglu-Scouting-Report,Forwards
31,GK,20.0,0,Patrik Gunnarsson,https://fbref.com/en/players/4d39152d/Patrik-Gunnarsson,https://fbref.com/en/players/4d39152d/scout/365_euro/Patrik-Gunnarsson-Scouting-Report,GK
32,MF,19.0,0,Maxwell Haygarth,https://fbref.com/en/players/2294d430/Maxwell-Haygarth,https://fbref.com/en/players/2294d430/scout/365_euro/Maxwell-Haygarth-Scouting-Report,Central Midfielders
33,DF,29.0,0,Julian Jeanvier,https://fbref.com/en/players/5cb215fc/Julian-Jeanvier,https://fbref.com/en/players/5cb215fc/scout/365_euro/Julian-Jeanvier-Scouting-Report,Defender
34,MF,20.0,0,Edmond Paris Maghoma,https://fbref.com/en/players/8a3ddcd2/Edmond-Paris-Maghoma,https://fbref.com/en/players/8a3ddcd2/scout/365_euro/Edmond-Paris-Maghoma-Scouting-Report,Central Midfielders
35,MF,18.0,0,Myles Peart Harris,https://fbref.com/en/players/ea1a5662/Myles-Peart-Harris,https://fbref.com/en/players/ea1a5662/scout/365_euro/Myles-Peart-Harris-Scouting-Report,Central Midfielders
0,GK,21.0,38,Illan Meslier,https://fbref.com/en/players/6b625ac2/Illan-Meslier,https://fbref.com/en/players/6b625ac2/scout/365_euro/Illan-Meslier-Scouting-Report,GK
1,"DF,MF",30.0,34,Stuart Dallas,https://fbref.com/en/players/67ca8566/Stuart-Dallas,https://fbref.com/en/players/67ca8566/scout/365_euro/Stuart-Dallas-Scouting-Report,Defender
2,"FW,MF",24.0,34,Raphael Dias Belloli,https://fbref.com/en/players/3423f250/Raphael-Dias-Belloli,https://fbref.com/en/players/3423f250/scout/365_euro/Raphael-Dias-Belloli-Scouting-Report,Attacking Midfielders
3,"FW,MF",24.0,32,Jack Harrison,https://fbref.com/en/players/aa849a12/Jack-Harrison,https://fbref.com/en/players/aa849a12/scout/365_euro/Jack-Harrison-Scouting-Report,Attacking Midfielders
4,"FW,MF",23.0,29,Daniel James,https://fbref.com/en/players/c931d9f9/Daniel-James,https://fbref.com/en/players/c931d9f9/scout/365_euro/Daniel-James-Scouting-Report,Attacking Midfielders
5,DF,27.0,28,Diego Llorente,https://fbref.com/en/players/bba30585/Diego-Llorente,https://fbref.com/en/players/bba30585/scout/365_euro/Diego-Llorente-Scouting-Report,Defender
6,"MF,FW",30.0,27,Rodrigo,https://fbref.com/en/players/1fb1c435/Rodrigo,https://fbref.com/en/players/1fb1c435/scout/365_euro/Rodrigo-Scouting-Report,Attacking Midfielders
7,DF,29.0,26,Luke Ayling,https://fbref.com/en/players/420d7c7d/Luke-Ayling,https://fbref.com/en/players/420d7c7d/scout/365_euro/Luke-Ayling-Scouting-Report,Defender
8,MF,31.0,26,Mateusz Klich,https://fbref.com/en/players/282679b4/Mateusz-Klich,https://fbref.com/en/players/282679b4/scout/365_euro/Mateusz-Klich-Scouting-Report,Central Midfielders
9,DF,21.0,22,Pascal Struijk,https://fbref.com/en/players/f4d296e4/Pascal-Struijk,https://fbref.com/en/players/f4d296e4/scout/365_euro/Pascal-Struijk-Scouting-Report,Defender
10,DF,29.0,21,Liam Cooper,https://fbref.com/en/players/dc64b8b3/Liam-Cooper,https://fbref.com/en/players/dc64b8b3/scout/365_euro/Liam-Cooper-Scouting-Report,Defender
11,DF,24.0,19,Junior Firpo,https://fbref.com/en/players/24f59bb2/Junior-Firpo,https://fbref.com/en/players/24f59bb2/scout/365_euro/Junior-Firpo-Scouting-Report,Defender
12,MF,25.0,18,Kalvin Phillips,https://fbref.com/en/players/4f565d77/Kalvin-Phillips,https://fbref.com/en/players/4f565d77/scout/365_euro/Kalvin-Phillips-Scouting-Report,Central Midfielders
13,"MF,DF",25.0,17,Robin Koch,https://fbref.com/en/players/ea6bc03a/Robin-Koch,https://fbref.com/en/players/ea6bc03a/scout/365_euro/Robin-Koch-Scouting-Report,Defensive-Midfielders
14,MF,29.0,17,Adam Forshaw,https://fbref.com/en/players/9f1938ab/Adam-Forshaw,https://fbref.com/en/players/9f1938ab/scout/365_euro/Adam-Forshaw-Scouting-Report,Central Midfielders
15,"MF,FW",22.0,7,Tyler Roberts,https://fbref.com/en/players/6c17e046/Tyler-Roberts,https://fbref.com/en/players/6c17e046/scout/365_euro/Tyler-Roberts-Scouting-Report,Attacking Midfielders
16,"DF,MF",21.0,7,Jamie Shackleton,https://fbref.com/en/players/8d03ca5a/Jamie-Shackleton,https://fbref.com/en/players/8d03ca5a/scout/365_euro/Jamie-Shackleton-Scouting-Report,Defender
17,FW,27.0,7,Patrick Bamford,https://fbref.com/en/players/93feac6e/Patrick-Bamford,https://fbref.com/en/players/93feac6e/scout/365_euro/Patrick-Bamford-Scouting-Report,Forwards
18,"FW,MF",19.0,5,Joe Gelhardt,https://fbref.com/en/players/01962d0d/Joe-Gelhardt,https://fbref.com/en/players/01962d0d/scout/365_euro/Joe-Gelhardt-Scouting-Report,Attacking Midfielders
19,"MF,FW",19.0,1,Sam Greenwood,https://fbref.com/en/players/f3354c07/Sam-Greenwood,https://fbref.com/en/players/f3354c07/scout/365_euro/Sam-Greenwood-Scouting-Report,Attacking Midfielders
20,MF,18.0,1,Lewis Bate,https://fbref.com/en/players/cd4256d3/Lewis-Bate,https://fbref.com/en/players/cd4256d3/scout/365_euro/Lewis-Bate-Scouting-Report,Central Midfielders
21,DF,18.0,1,Charlie Cresswell,https://fbref.com/en/players/4654e5f5/Charlie-Cresswell,https://fbref.com/en/players/4654e5f5/scout/365_euro/Charlie-Cresswell-Scouting-Report,Defender
22,DF,19.0,1,Cody Drameh,https://fbref.com/en/players/e0d1510a/Cody-Drameh,https://fbref.com/en/players/e0d1510a/scout/365_euro/Cody-Drameh-Scouting-Report,Defender
23,DF,17.0,0,Leo Fuhr Hjelde,https://fbref.com/en/players/d102b8a2/Leo-Fuhr-Hjelde,https://fbref.com/en/players/d102b8a2/scout/365_euro/Leo-Fuhr-Hjelde-Scouting-Report,Defender
24,"MF,FW",19.0,0,Crysencio Summerville,https://fbref.com/en/players/df04eb4b/Crysencio-Summerville,https://fbref.com/en/players/df04eb4b/scout/365_euro/Crysencio-Summerville-Scouting-Report,Attacking Midfielders
25,GK,20.0,0,Kristoffer Klaesson,https://fbref.com/en/players/3f70db80/Kristoffer-Klaesson,https://fbref.com/en/players/3f70db80/scout/365_euro/Kristoffer-Klaesson-Scouting-Report,GK
26,MF,27.0,0,Helder Costa,https://fbref.com/en/players/f13d02a6/Helder-Costa,https://fbref.com/en/players/f13d02a6/scout/365_euro/Helder-Costa-Scouting-Report,Central Midfielders
27,FW,20.0,0,Liam McCarron,https://fbref.com/en/players/076bb352/Liam-McCarron,https://fbref.com/en/players/076bb352/scout/365_euro/Liam-McCarron-Scouting-Report,Forwards
28,MF,18.0,0,Stuart McKinstry,https://fbref.com/en/players/1000a059/Stuart-McKinstry,https://fbref.com/en/players/1000a059/scout/365_euro/Stuart-McKinstry-Scouting-Report,Central Midfielders
29,DF,18.0,0,Nohan Kenneh,https://fbref.com/en/players/bc91e227/Nohan-Kenneh,https://fbref.com/en/players/bc91e227/scout/365_euro/Nohan-Kenneh-Scouting-Report,Defender
30,MF,15.0,0,Archie Gray,https://fbref.com/en/players/f58515f5/Archie-Gray,https://fbref.com/en/players/f58515f5/scout/365_euro/Archie-Gray-Scouting-Report,Central Midfielders
31,MF,19.0,0,Jack Jenkins,https://fbref.com/en/players/3d46127c/Jack-Jenkins,https://fbref.com/en/players/3d46127c/scout/365_euro/Jack-Jenkins-Scouting-Report,Central Midfielders
32,MF,,0,Kris Moore,https://fbref.com/en/players/b660a486/Kris-Moore,https://fbref.com/en/players/b660a486/scout/365_euro/Kris-Moore-Scouting-Report,Central Midfielders
0,GK,34.0,38,Hugo Lloris,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris,https://fbref.com/en/players/8f62b6ee/scout/365_euro/Hugo-Lloris-Scouting-Report,GK
1,FW,28.0,36,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane,https://fbref.com/en/players/21a66f6a/scout/365_euro/Harry-Kane-Scouting-Report,Forwards
2,MF,25.0,36,Pierre Hojbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg,https://fbref.com/en/players/8b04d6c1/scout/365_euro/Pierre-Hojbjerg-Scouting-Report,Central Midfielders
3,DF,27.0,35,Eric Dier,https://fbref.com/en/players/ac861941/Eric-Dier,https://fbref.com/en/players/ac861941/scout/365_euro/Eric-Dier-Scouting-Report,Defender
4,"FW,MF",29.0,35,Son Heung min,https://fbref.com/en/players/92e7e919/Son-Heung-min,https://fbref.com/en/players/92e7e919/scout/365_euro/Son-Heung-min-Scouting-Report,Attacking Midfielders
5,DF,28.0,28,Ben Davies,https://fbref.com/en/players/44781702/Ben-Davies,https://fbref.com/en/players/44781702/scout/365_euro/Ben-Davies-Scouting-Report,Defender
6,DF,22.0,26,Emerson,https://fbref.com/en/players/df8b52a5/Emerson,https://fbref.com/en/players/df8b52a5/scout/365_euro/Emerson-Scouting-Report,Defender
7,DF,24.0,22,Sergio Reguilon,https://fbref.com/en/players/3353737a/Sergio-Reguilon,https://fbref.com/en/players/3353737a/scout/365_euro/Sergio-Reguilon-Scouting-Report,Defender
8,DF,23.0,21,Cristian Romero,https://fbref.com/en/players/a3d94a58/Cristian-Romero,https://fbref.com/en/players/a3d94a58/scout/365_euro/Cristian-Romero-Scouting-Report,Defender
9,"FW,MF",28.0,19,Lucas Moura,https://fbref.com/en/players/2b622f01/Lucas-Moura,https://fbref.com/en/players/2b622f01/scout/365_euro/Lucas-Moura-Scouting-Report,Attacking Midfielders
10,DF,25.0,17,Davinson Sanchez,https://fbref.com/en/players/da7b447d/Davinson-Sanchez,https://fbref.com/en/players/da7b447d/scout/365_euro/Davinson-Sanchez-Scouting-Report,Defender
11,MF,24.0,16,Rodrigo Bentancur,https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur,https://fbref.com/en/players/3b8674e6/scout/365_euro/Rodrigo-Bentancur-Scouting-Report,Central Midfielders
12,MF,20.0,14,Oliver Skipp,https://fbref.com/en/players/6250083a/Oliver-Skipp,https://fbref.com/en/players/6250083a/scout/365_euro/Oliver-Skipp-Scouting-Report,Central Midfielders
13,"MF,FW",21.0,14,Dejan Kulusevski,https://fbref.com/en/players/df3cda47/Dejan-Kulusevski,https://fbref.com/en/players/df3cda47/scout/365_euro/Dejan-Kulusevski-Scouting-Report,Attacking Midfielders
14,DF,21.0,13,Ryan Sessegnon,https://fbref.com/en/players/6aa3e78b/Ryan-Sessegnon,https://fbref.com/en/players/6aa3e78b/scout/365_euro/Ryan-Sessegnon-Scouting-Report,Defender
15,DF,22.0,10,Japhet Tanganga,https://fbref.com/en/players/e9971f2d/Japhet-Tanganga,https://fbref.com/en/players/e9971f2d/scout/365_euro/Japhet-Tanganga-Scouting-Report,Defender
16,MF,25.0,9,Harry Winks,https://fbref.com/en/players/2f7acede/Harry-Winks,https://fbref.com/en/players/2f7acede/scout/365_euro/Harry-Winks-Scouting-Report,Central Midfielders
17,DF,29.0,9,Matt Doherty,https://fbref.com/en/players/d557d734/Matt-Doherty,https://fbref.com/en/players/d557d734/scout/365_euro/Matt-Doherty-Scouting-Report,Defender
18,"MF,FW",25.0,8,Dele Alli,https://fbref.com/en/players/cea4ee8f/Dele-Alli,https://fbref.com/en/players/cea4ee8f/scout/365_euro/Dele-Alli-Scouting-Report,Attacking Midfielders
19,MF,24.0,6,Tanguy Ndombele,https://fbref.com/en/players/5cdddffa/Tanguy-Ndombele,https://fbref.com/en/players/5cdddffa/scout/365_euro/Tanguy-Ndombele-Scouting-Report,Central Midfielders
20,"FW,MF",23.0,4,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,https://fbref.com/en/players/a29b1131/scout/365_euro/Steven-Bergwijn-Scouting-Report,Attacking Midfielders
21,"MF,FW",25.0,2,Giovani Lo Celso,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,https://fbref.com/en/players/d7553721/scout/365_euro/Giovani-Lo-Celso-Scouting-Report,Attacking Midfielders
22,"FW,MF",20.0,0,Bryan,https://fbref.com/en/players/7b5ab7f2/Bryan,https://fbref.com/en/players/7b5ab7f2/scout/365_euro/Bryan-Scouting-Report,Attacking Midfielders
23,DF,23.0,0,Joe Rodon,https://fbref.com/en/players/8d62d31a/Joe-Rodon,https://fbref.com/en/players/8d62d31a/scout/365_euro/Joe-Rodon-Scouting-Report,Defender
24,MF,17.0,0,Dane Scarlett,https://fbref.com/en/players/21945a9e/Dane-Scarlett,https://fbref.com/en/players/21945a9e/scout/365_euro/Dane-Scarlett-Scouting-Report,Central Midfielders
25,GK,22.0,0,Brandon Austin,https://fbref.com/en/players/5e253986/Brandon-Austin,https://fbref.com/en/players/5e253986/scout/365_euro/Brandon-Austin-Scouting-Report,GK
26,MF,20.0,0,Jamie Bowden,https://fbref.com/en/players/9a5675c9/Jamie-Bowden,https://fbref.com/en/players/9a5675c9/scout/365_euro/Jamie-Bowden-Scouting-Report,Central Midfielders
27,MF,18.0,0,Matthew Craig,https://fbref.com/en/players/bc914523/Matthew-Craig,https://fbref.com/en/players/bc914523/scout/365_euro/Matthew-Craig-Scouting-Report,Central Midfielders
28,MF,16.0,0,Alfie Devine,https://fbref.com/en/players/ba08056d/Alfie-Devine,https://fbref.com/en/players/ba08056d/scout/365_euro/Alfie-Devine-Scouting-Report,Central Midfielders
29,GK,26.0,0,Pierluigi Gollini,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,https://fbref.com/en/players/f0f7f62f/scout/365_euro/Pierluigi-Gollini-Scouting-Report,GK
30,DF,20.0,0,Marcel Lavinier,https://fbref.com/en/players/6b3e4b53/Marcel-Lavinier,https://fbref.com/en/players/6b3e4b53/scout/365_euro/Marcel-Lavinier-Scouting-Report,Defender
31,"FW,MF",19.0,0,Dilan Markanday,https://fbref.com/en/players/4f242e0e/Dilan-Markanday,https://fbref.com/en/players/4f242e0e/scout/365_euro/Dilan-Markanday-Scouting-Report,Attacking Midfielders
32,DF,21.0,0,Tobi Omole,https://fbref.com/en/players/296904e8/Tobi-Omole,https://fbref.com/en/players/296904e8/scout/365_euro/Tobi-Omole-Scouting-Report,Defender
33,MF,31.0,0,Moussa Sissoko,https://fbref.com/en/players/2acd49b9/Moussa-Sissoko,https://fbref.com/en/players/2acd49b9/scout/365_euro/Moussa-Sissoko-Scouting-Report,Central Midfielders
34,MF,19.0,0,Harvey White,https://fbref.com/en/players/4d90ce8c/Harvey-White,https://fbref.com/en/players/4d90ce8c/scout/365_euro/Harvey-White-Scouting-Report,Central Midfielders
0,GK,36.0,37,Lukasz Fabianski,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,https://fbref.com/en/players/9328b835/scout/365_euro/Lukasz-Fabianski-Scouting-Report,GK
1,MF,22.0,35,Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice,https://fbref.com/en/players/1c7012b8/scout/365_euro/Declan-Rice-Scouting-Report,Central Midfielders
2,MF,26.0,34,Tomas Soucek,https://fbref.com/en/players/6613c819/Tomas-Soucek,https://fbref.com/en/players/6613c819/scout/365_euro/Tomas-Soucek-Scouting-Report,Central Midfielders
3,FW,24.0,34,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,https://fbref.com/en/players/79c84d1c/scout/365_euro/Jarrod-Bowen-Scouting-Report,Forwards
4,FW,31.0,34,Michail Antonio,https://fbref.com/en/players/ac05f970/Michail-Antonio,https://fbref.com/en/players/ac05f970/scout/365_euro/Michail-Antonio-Scouting-Report,Forwards
5,"FW,MF",25.0,32,Pablo Fornals,https://fbref.com/en/players/82927de4/Pablo-Fornals,https://fbref.com/en/players/82927de4/scout/365_euro/Pablo-Fornals-Scouting-Report,Attacking Midfielders
6,DF,31.0,31,Aaron Cresswell,https://fbref.com/en/players/4f974391/Aaron-Cresswell,https://fbref.com/en/players/4f974391/scout/365_euro/Aaron-Cresswell-Scouting-Report,Defender
7,DF,31.0,30,Craig Dawson,https://fbref.com/en/players/3e9e06cb/Craig-Dawson,https://fbref.com/en/players/3e9e06cb/scout/365_euro/Craig-Dawson-Scouting-Report,Defender
8,"FW,MF",25.0,26,Said Benrahma,https://fbref.com/en/players/5a04fd92/Said-Benrahma,https://fbref.com/en/players/5a04fd92/scout/365_euro/Said-Benrahma-Scouting-Report,Attacking Midfielders
9,DF,28.0,25,Vladimir Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,https://fbref.com/en/players/fdf3cb77/scout/365_euro/Vladimir-Coufal-Scouting-Report,Defender
10,DF,26.0,24,Kurt Zouma,https://fbref.com/en/players/ce4246f5/Kurt-Zouma,https://fbref.com/en/players/ce4246f5/scout/365_euro/Kurt-Zouma-Scouting-Report,Defender
11,"MF,FW",28.0,19,Manuel Lanzini,https://fbref.com/en/players/26f6dca8/Manuel-Lanzini,https://fbref.com/en/players/26f6dca8/scout/365_euro/Manuel-Lanzini-Scouting-Report,Attacking Midfielders
12,DF,21.0,16,Ben Johnson,https://fbref.com/en/players/9319781b/Ben-Johnson,https://fbref.com/en/players/9319781b/scout/365_euro/Ben-Johnson-Scouting-Report,Defender
13,DF,33.0,11,Angelo Ogbonna,https://fbref.com/en/players/74b2cd7e/Angelo-Ogbonna,https://fbref.com/en/players/74b2cd7e/scout/365_euro/Angelo-Ogbonna-Scouting-Report,Defender
14,DF,24.0,10,Issa Diop,https://fbref.com/en/players/a712ca2b/Issa-Diop,https://fbref.com/en/players/a712ca2b/scout/365_euro/Issa-Diop-Scouting-Report,Defender
15,"DF,FW",27.0,6,Arthur Masuaku,https://fbref.com/en/players/57df7a11/Arthur-Masuaku,https://fbref.com/en/players/57df7a11/scout/365_euro/Arthur-Masuaku-Scouting-Report,Wing-Back
16,"FW,MF",23.0,6,Nikola Vlasic,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,https://fbref.com/en/players/aa8e289e/scout/365_euro/Nikola-Vlasic-Scouting-Report,Attacking Midfielders
17,MF,34.0,3,Mark Noble,https://fbref.com/en/players/ff527768/Mark-Noble,https://fbref.com/en/players/ff527768/scout/365_euro/Mark-Noble-Scouting-Report,Central Midfielders
18,DF,28.0,3,Ryan Fredericks,https://fbref.com/en/players/c067631c/Ryan-Fredericks,https://fbref.com/en/players/c067631c/scout/365_euro/Ryan-Fredericks-Scouting-Report,Defender
19,FW,31.0,1,Andriy Yarmolenko,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko,https://fbref.com/en/players/849c826a/scout/365_euro/Andriy-Yarmolenko-Scouting-Report,Forwards
20,GK,28.0,1,Alphonse Areola,https://fbref.com/en/players/2f965a72/Alphonse-Areola,https://fbref.com/en/players/2f965a72/scout/365_euro/Alphonse-Areola-Scouting-Report,GK
21,DF,19.0,0,Harrison Ashby,https://fbref.com/en/players/b391383a/Harrison-Ashby,https://fbref.com/en/players/b391383a/scout/365_euro/Harrison-Ashby-Scouting-Report,Defender
22,FW,17.0,0,Sonny Perkins,https://fbref.com/en/players/87f12e30/Sonny-Perkins,https://fbref.com/en/players/87f12e30/scout/365_euro/Sonny-Perkins-Scouting-Report,Forwards
23,MF,19.0,0,Daniel Chesters,https://fbref.com/en/players/240c8ab6/Daniel-Chesters,https://fbref.com/en/players/240c8ab6/scout/365_euro/Daniel-Chesters-Scouting-Report,Central Midfielders
24,MF,23.0,0,Alex Kral,https://fbref.com/en/players/e717705a/Alex-Kral,https://fbref.com/en/players/e717705a/scout/365_euro/Alex-Kral-Scouting-Report,Central Midfielders
25,DF,21.0,0,Ajibola Alese,https://fbref.com/en/players/182a8b9d/Ajibola-Alese,https://fbref.com/en/players/182a8b9d/scout/365_euro/Ajibola-Alese-Scouting-Report,Defender
26,DF,17.0,0,Jamal Baptiste,https://fbref.com/en/players/41d3704d/Jamal-Baptiste,https://fbref.com/en/players/41d3704d/scout/365_euro/Jamal-Baptiste-Scouting-Report,Defender
27,MF,21.0,0,Conor Coventry,https://fbref.com/en/players/a5ca9127/Conor-Coventry,https://fbref.com/en/players/a5ca9127/scout/365_euro/Conor-Coventry-Scouting-Report,Central Midfielders
28,MF,19.0,0,Pierre Ekwah Elimby,https://fbref.com/en/players/830371be/Pierre-Ekwah-Elimby,https://fbref.com/en/players/830371be/scout/365_euro/Pierre-Ekwah-Elimby-Scouting-Report,Central Midfielders
29,MF,19.0,0,Armstrong Okoflex,https://fbref.com/en/players/ab77d10d/Armstrong-Okoflex,https://fbref.com/en/players/ab77d10d/scout/365_euro/Armstrong-Okoflex-Scouting-Report,Central Midfielders
30,GK,34.0,0,Darren Randolph,https://fbref.com/en/players/6385ebfb/Darren-Randolph,https://fbref.com/en/players/6385ebfb/scout/365_euro/Darren-Randolph-Scouting-Report,GK
0,"FW,MF",19.0,36,Bukayo Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,https://fbref.com/en/players/bc7dc64d/scout/365_euro/Bukayo-Saka-Scouting-Report,Attacking Midfielders
1,DF,23.0,35,Gabriel Dos Santos,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,https://fbref.com/en/players/67ac5bb8/scout/365_euro/Gabriel-Dos-Santos-Scouting-Report,Defender
2,GK,23.0,34,Aaron Ramsdale,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,https://fbref.com/en/players/466fb2c5/scout/365_euro/Aaron-Ramsdale-Scouting-Report,GK
3,DF,23.0,32,Ben White,https://fbref.com/en/players/35e413f1/Ben-White,https://fbref.com/en/players/35e413f1/scout/365_euro/Ben-White-Scouting-Report,Defender
