,Pos,Age,Starts,Player,urls,scouting_url,position_group
4,DF,21.0,32,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/Nico-Schlotterbeck,https://fbref.com/en/players/34e12499/scout/365_euro/Nico-Schlotterbeck-Scouting-Report,Defender
5,MF,31.0,30,Nicolas Hofler,https://fbref.com/en/players/5d8e331f/Nicolas-Hofler,https://fbref.com/en/players/5d8e331f/scout/365_euro/Nicolas-Hofler-Scouting-Report,Central Midfielders
6,"FW,MF",27.0,30,Lucas Holer,https://fbref.com/en/players/ca618d23/Lucas-Holer,https://fbref.com/en/players/ca618d23/scout/365_euro/Lucas-Holer-Scouting-Report,Attacking Midfielders
7,DF,28.0,27,Lukas Kubler,https://fbref.com/en/players/2a29eb9b/Lukas-Kubler,https://fbref.com/en/players/2a29eb9b/scout/365_euro/Lukas-Kubler-Scouting-Report,Defender
8,MF,24.0,26,Maximilian Eggestein,https://fbref.com/en/players/beb882a8/Maximilian-Eggestein,https://fbref.com/en/players/beb882a8/scout/365_euro/Maximilian-Eggestein-Scouting-Report,Central Midfielders
9,"FW,MF",21.0,23,Jeong Woo yeong,https://fbref.com/en/players/6190474d/Jeong-Woo-yeong,https://fbref.com/en/players/6190474d/scout/365_euro/Jeong-Woo-yeong-Scouting-Report,Attacking Midfielders
10,"MF,FW",24.0,18,Roland Sallai,https://fbref.com/en/players/bf075f6b/Roland-Sallai,https://fbref.com/en/players/bf075f6b/scout/365_euro/Roland-Sallai-Scouting-Report,Attacking Midfielders
11,DF,30.0,14,Manuel Gulde,https://fbref.com/en/players/25ab9c9c/Manuel-Gulde,https://fbref.com/en/players/25ab9c9c/scout/365_euro/Manuel-Gulde-Scouting-Report,Defender
12,"FW,MF",23.0,9,Ermedin Demirovic,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,https://fbref.com/en/players/ed79b7d3/scout/365_euro/Ermedin-Demirovic-Scouting-Report,Attacking Midfielders
13,"FW,MF",19.0,7,Kevin Schade,https://fbref.com/en/players/52afb588/Kevin-Schade,https://fbref.com/en/players/52afb588/scout/365_euro/Kevin-Schade-Scouting-Report,Attacking Midfielders
