,x,y,cluster,name
0,-0.5337028665217396,-0.09940632034615567,0,Tyler Adams
1,0.33748061595096185,0.3715054383041644,1,Yacine Adli
2,-0.3886450195496585,0.02402190511459495,0,Lucien Agoume
3,-0.15737837352626322,0.29192461425704447,0,Sergi Altimira
4,0.3374179330002424,-0.24196698389207522,1,Hugo Álvarez
5,-0.4672736844353707,-0.2449108618678417,0,Mathis Amougou
6,-0.6369042857091108,0.2393877531566544,0,André
7,0.04784059571834491,-0.005579132411510941,0,Faustino Anjorin
8,-0.5618124218574344,-0.0023125387764411426,0,Valentin Atangana Edoa
9,0.2391995905208472,-0.06397246622437988,1,Yasin Ayari
10,-0.08593445912838793,0.2392960291208308,0,Carlos Baleba
11,-0.2228052262616251,0.15043255848366646,0,Enzo Barrenechea
12,0.17855980761176649,0.25685268091665725,1,Pablo Barrios
13,0.5410848529439551,-0.5725676086867826,1,Christoph Baumgartner
14,-0.4013020640115994,0.18534707016676683,0,Reda Belahyane
15,0.2975688532735046,0.3311018824238516,1,Jude Bellingham
16,-0.309160909228472,0.24798339250155735,0,Fran Beltrán
17,-0.6218697302652327,0.16098625154810478,0,Sander Berge
18,0.3146045066372689,0.38523949033468247,1,Adrian Bernabe
19,-0.10833793911645466,0.10690308552598649,0,Alessandro Bianco
20,0.7033675423002281,-0.06320306798806985,1,Tom Bischof
21,-0.29453463430582777,-0.14428442769041552,0,Antonio Blanco
22,-0.5355192060097994,0.004830498058468883,0,Warren Bondo
23,-0.3503147703667154,0.07249014616450432,0,Ayyoub Bouaddi
24,-0.26071471152151854,0.11579768861025751,0,Benjamin Bouchouari
25,0.00042621101042014404,-0.041193505393631445,0,Hicham Boudaoui
26,-0.292896554966357,-0.6899687091770382,0,Carlo Boukhalfa
27,0.18925386136205097,-0.26917378386874824,1,Marco Brescianini
28,0.34702611599456756,-0.3978625811076139,1,Gianluca Busio
29,-0.10201507136810037,0.32164403067254893,0,Moisés Caicedo
30,-0.4695812192041549,-0.10366443527070246,0,Jens Cajuste
31,0.2210405442524436,0.2226976357309607,1,Lamine Camara
32,0.01147493716778913,-0.1610618527452493,0,Mahdi Camara
33,-0.3697361568559817,0.44768232596248275,0,Eduardo Camavinga
34,0.2550043930802159,0.014828692508227256,1,Maxence Caqueret
35,-0.535266167418246,-0.012369063958805228,0,Johnny Cardoso
36,-0.14183727080088532,0.49766093393211175,0,Marc Casado
37,-0.41167071653775117,-0.24063674833868381,0,Cristian Cásseres Jr.
38,-0.3735945391916667,0.0077271495299493015,0,Joris Chotard
39,-0.4096826694537756,0.00910742434668474,0,Seydouba Cissé
40,-0.11375162374665833,-0.08881296148550641,0,Samu Costa
41,0.20947634622098296,-0.11064149268929034,1,Lucas Da Cunha
42,0.045757185045752304,0.24887299216556233,0,Kévin Danois
43,-0.1116296723232586,-0.4032100429627644,0,Bence Dárdai
44,0.6094160400022683,-0.36866782915965507,1,Eren Dinkçi
45,0.21475116491291635,-0.13061084310151758,1,Andy Diouf
46,-0.16924765550273438,0.026787686548914162,0,Niklas Dorsch
47,-0.6396701554512763,0.09563843002252762,0,Ismaël Doukouré
48,-0.369930090145921,0.1332579941366465,0,Flynn Downes
49,0.2843832675816726,0.4402604159578203,1,Éderson
50,-0.12379899288731458,-0.21722591299583163,0,Jurgen Ekkelenkamp
51,-0.6681920764265425,0.14758092095849315,0,Pierre Ekwah Elimby
52,-0.49106773138327636,0.14994457919839263,0,Yannik Engelhardt
53,-0.3897727498972689,0.1737959572659233,0,Dario Essugo
54,-0.24744865084982015,-0.8513971261299514,0,Giovanni Fabbian
55,0.050477745699313514,0.5947507442660452,0,Nicolò Fagioli
56,-0.11502309345238802,-0.37436339087765347,0,Jacopo Fazzini
57,0.15989343106237447,-0.052116280676190264,1,Mateus Fernandes
58,0.6883227148786772,0.31404045207172065,1,Enzo Fernández
59,-0.18805882756094647,0.37145761736147054,0,Youssouf Fofana
60,-0.05436231998456053,-0.16267005476916835,0,Davide Frattesi
61,-0.6278729200455787,-0.17668547784484784,0,Morten Frendrup
62,-0.3067043539680105,-0.29162638254530177,0,Conor Gallagher
63,-0.027035201324679545,0.37433095018521667,0,Eric García
64,0.8270562966468178,0.0724825426676087,1,Morgan Gibbs-White
65,-0.16742024503680983,-0.473030438282181,0,Armin Gigovic
66,0.26980614462921126,-0.6137041939330108,1,Gvidas Gineitis
67,0.6812877501798502,-0.08854378367264547,1,Angel Gomes
68,-0.24004195339205905,-0.03675750140840165,0,João Gomes
69,0.46855688287396524,-0.22462291515580804,1,Sergio Gómez
70,-0.8570025369161096,-0.13087363033391347,0,José Gragera
71,-0.1671476229763511,0.3976574371040362,0,Ryan Gravenberch
72,0.08710885062717351,0.7199480493894224,0,Mattéo Guendouzi
73,-0.2543333141914056,0.02435189011160491,0,Amadou Haidara
74,-0.06454186996156133,0.034672824401729925,0,Yangel Herrera
75,-0.22220913200589318,-0.024031815734601777,0,Jack Hinshelwood
76,-0.04002480402911435,-0.597783858569633,0,Pablo Ibáñez
77,0.7020552106176702,-0.06489013952000126,1,Ivan Ilić
78,-0.09934403461252156,-0.11411330231633432,0,Vitaly Janelt
79,-0.12723982619829133,0.13053206219435068,0,Mikel Jauregizar
80,0.09456971613399001,0.18187078608856505,0,Curtis Jones
81,0.6218872051271666,-0.5426983954789317,1,Hamed Junior Traorè
82,-0.7499086331259451,0.13700516769408141,0,Boubacar Kamara
83,0.0919003194405716,-0.2963112384107139,0,Aljoscha Kemlein
84,0.7247210586131287,-0.4347000778193079,1,Ansgar Knauff
